rows,world,it,time
100000000,64,0,49895.56407928467
100000000,64,1,44079.710245132446
100000000,64,2,44986.743688583374
100000000,64,3,45993.41654777527
100000000,64,4,45906.77905082703
100000000,128,0,58867.91157722473
100000000,128,1,49022.14336395264
100000000,128,2,49009.12666320801
100000000,128,3,49101.63068771362
100000000,128,4,46966.95303916931
100000000,160,0,62664.60418701172
100000000,160,1,52288.4566783905
100000000,160,2,52358.760356903076
100000000,160,3,53193.3798789978
100000000,160,4,53133.81266593933
